ticket_id,user_id,created_at,hour_of_day,day_of_week,age,gender,country,city,subscription,registration_date,days_since_registration,total_likes,total_matches,messages_sent,active_days_last_week,boosts_purchased,superlikes_purchased,past_tickets_count,avg_csat_history,platform,app_version,channel,language,user_message,support_response,message_length_chars,message_length_words,sentiment_score,priority,resolution_time_minutes,escalated,csat_ticket,category
TW-D428C8F12A,U67873213,2025-01-30T22:39:30,22,Thursday,31,male,RU,Челябинск,premium,2024-11-20,71,281,29,21,2,0,4,1,3.7,iOS,4.13.2,email,ru,"Купил 10 супер-лайков, но они не появились на счёте. Жду ответа.",Приветствуем! Сменить способ оплаты можно через настройки магазина приложений.,64,11,-0.426,medium,31.9,0,4,payment
TW-6DB2DDDA56,U55608019,2025-04-22T19:06:34,19,Tuesday,27,male,RU,Санкт-Петербург,free,2025-02-09,72,293,34,55,2,2,0,3,5.0,iOS,5.0.0,email,ru,"Здравствуйте, саппорт! Общий вопрос: как приложение работает в роуминге?","Добрый день! Рады, что приложение оказалось полезным, спасибо за отзыв!",72,9,0.087,medium,106.8,0,4,other
TW-110B81FE86,U43332648,2025-03-16T18:52:17,18,Sunday,24,other,RU,Уфа,free,2024-12-11,95,82,10,54,5,0,2,0,,iOS,4.15.0,app_store_review,ru,"Хочу обратиться, видеозвонок не работает, собеседник меня не слышит. Пишу уже не первый раз.","Приветствуем! Проблема связана с серверной частью, уже устраняем.",92,14,-0.429,medium,330.5,0,4,bug
TW-7BBB1C3CB9,U56812971,2026-01-23T00:28:03,0,Friday,31,female,RU,Санкт-Петербург,free,2025-12-29,25,68,6,22,0,0,1,1,4.0,Android,5.0.1,telegram_bot,ru,"Хочу обратиться, забыл пароль, письмо для восстановления не приходит на почту. Надеюсь на скорый ответ.","Здравствуйте! Удалённый аккаунт восстановить невозможно, данные стираются безвозвратно.",103,15,0.093,high,27.2,0,4,account
TW-ED11607801,U93195667,2026-02-04T07:07:06,7,Wednesday,25,male,RU,Санкт-Петербург,free,2025-12-28,38,27,2,11,2,2,1,2,3.8,Android,4.13.2,email,ru,Добрый день! Как оспорить решение модератора по анкете?  Буду ждать вашего решения.,Приветствуем! Для ускорения модерации следуйте правилам оформления анкеты.,83,12,-0.011,low,199.0,0,5,moderation
TW-238AFA3FC5,U74672782,2025-10-17T05:34:01,5,Friday,22,male,RU,Санкт-Петербург,free,2025-04-16,184,1023,67,252,2,1,1,0,,Android,4.14.1,in_app_chat,ru,"Добрый вечер. Загрузил новое фото, уже 4 дня висит на проверке. Пишу уже не первый раз.",Добрый день! Для ускорения модерации следуйте правилам оформления анкеты.,87,16,-0.347,medium,71.1,0,5,moderation
TW-DC834D7BC0,U66805841,2025-05-17T20:23:03,20,Saturday,23,male,RU,Уфа,free,2024-08-22,268,164,10,61,3,1,0,1,4.6,iOS,4.15.0,in_app_chat,ru,"добрый вечер, при попытке купить премиум  вылетает приложение. Жду ответа. Буду ждать вашего решения.","Здравствуйте! Проверили ваш платёж, средства поступили, подписка активирована.",101,14,-0.201,medium,39.4,0,4,payment
TW-DD97A7FB89,U22207476,2025-04-07T17:48:49,17,Monday,34,male,RU,Санкт-Петербург,free,2024-12-22,106,152,20,86,1,0,0,0,,Web,5.1.0,in_app_chat,ru,"Здравствуйте. Ребёнок купил подписку без моего ведома, как вернуть деньги","Здравствуйте! Детский возврат оформлен, средства вернутся в течение 5 рабочих дней.",73,10,-0.532,high,116.0,0,4,refund
TW-C39EF0BE58,U39240316,2025-03-16T08:46:51,8,Sunday,33,male,RU,Челябинск,free,2025-01-03,72,81,4,32,2,0,0,1,4.9,iOS,5.0.0,in_app_chat,ru,"Привет, не могу оплатить премиум на Pixel 7, пишет ошибку «проерьте данные карты».  Заранее благодарю.","Приветствуем! Отправили запрос на возврат двойного списания, средства вернутся в течение 5 рабочих дней.",102,15,-0.079,medium,13.9,0,5,payment
TW-CEE4C3C051,U30253225,2026-01-21T05:41:09,5,Wednesday,19,male,RU,Москва,premium,2025-09-26,117,138,12,20,5,2,0,5,2.9,iOS,4.14.0,in_app_chat,ru,"Добрый день.  Автопродление не сработало, подписка закончилась, фичи пропали. Заранее благодарю","Добрый день! Отправили запрос на возврат двойного списания, средства вернутся в течение 5 рабочих дней.",95,11,-0.475,medium,14.9,0,5,payment
TW-AB9D195739,U32420979,2026-01-29T13:07:31,13,Thursday,27,female,RU,Москва,free,2025-12-08,52,143,9,36,2,1,2,0,,iOS,4.15.0,in_app_chat,ru,"Прошу помочь, фото на профиле явно не принадлежат человеку, проверьте. Заранее благодарю.","Приветствуем! Передали жалобу в отдел безопасности, при угрозе обращайтесь в полицию.",89,12,-0.427,medium,37.2,0,4,complaint
TW-1D17685381,U56025062,2025-05-22T05:44:14,5,Thursday,25,male,RU,Москва,free,2023-08-19,642,1775,77,207,4,1,0,0,,Android,4.14.1,email,ru,"Добрый день, не проходит модерцию описание профиля, в чём проблема",Здравствуйте! Для ускорения модерации следуйте правилам оформления анкеты.,66,10,-0.768,low,120.0,0,4,moderation
TW-F70FCF16D2,U23605396,2025-02-07T23:55:48,23,Friday,30,female,RU,Пермь,free,2024-05-08,275,353,12,34,3,0,0,2,3.9,Android,4.15.0,email,ru,"Нужна помощь! Дважды списалась сумма за подписку, прошу проверить платеж. Спасибо заранее.","Здравствуйте! Проверили ваш платёж, средства поступили, подписка активирована.",90,12,-0.03,high,13.0,1,3,payment
TW-1775A3BCD8,U43875242,2025-02-17T16:44:40,16,Monday,25,male,RU,Сочи,premium,2024-07-13,219,854,56,124,1,2,0,3,4.4,Web,4.14.1,in_app_chat,ru,"Здравствуйте, уважаемая поддержка! Чат не синхронизируется между устройствами. Буду ждать вашего решения",Добрый день! Проверьте разрешения приложения в настройках телефона.,104,12,-0.467,medium,123.3,0,4,bug
